"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque","Leyenda"
"Vancsik","Daniel","MISIONES","10/12/2023","09/12/2027","INNOVACIÓN FEDERAL",
"Vargas Matyi","Brenda","BUENOS AIRES","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Vásquez","Patricia","BUENOS AIRES","10/12/2023","09/12/2027","PRO",
"Vega","Yolanda","SALTA","10/12/2023","09/12/2027","INNOVACIÓN FEDERAL",
"Verasay","Pamela Fernanda","MENDOZA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Vidal","María Eugenia","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","PRO",
"Vilca","Alejandro","JUJUY","10/12/2021","09/12/2025","FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD",
"Villaverde","Lorena","RIO NEGRO","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Volnovich","Luana","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Yasky","Hugo","BUENOS AIRES","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Yedlin","Pablo","TUCUMAN","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Yeza","Martín","BUENOS AIRES","10/12/2023","09/12/2027","PRO",
"Yutrovic","Carolina","TIERRA DEL FUEGO","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Zabala Chacur","Natalia","SAN LUIS","21/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Zago","Oscar","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Zapata","Carlos Raúl","SALTA","10/12/2021","09/12/2025","LA LIBERTAD AVANZA",
"Zaracho","Natalia","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Zulli","Christian Alejandro","CORRIENTES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
